,price,dlc_count,achievements,main_story,multi-language,has_voice_acting,extra_content_hours,independent,rpg,action,adventure,sim,casual,success
370,19.99,0,45,10.77,1.0,1.0,17.71,0.0,0.0,1.0,1.0,0.0,0.0,1.0
371,29.99,1,35,21.87,1.0,0.0,10.679999999999996,1.0,0.0,1.0,1.0,0.0,0.0,1.0
374,29.99,5,68,13.62,1.0,1.0,29.760000000000005,0.0,1.0,0.0,0.0,0.0,0.0,1.0
376,24.99,7,45,3.5,1.0,1.0,41.62,1.0,0.0,1.0,0.0,0.0,0.0,0.0
377,0.0,0,34,8.57,1.0,0.0,16.4,1.0,0.0,0.0,0.0,1.0,0.0,1.0
378,9.99,0,23,4.08,1.0,0.0,34.14,1.0,1.0,0.0,0.0,1.0,1.0,1.0
381,19.99,1,18,5.97,1.0,0.0,14.100000000000001,0.0,0.0,1.0,1.0,0.0,1.0,1.0
384,9.74,1,34,4.97,1.0,1.0,1.4100000000000001,1.0,0.0,0.0,1.0,0.0,1.0,1.0
385,29.99,2,62,10.12,1.0,1.0,20.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0
386,9.99,0,33,12.73,1.0,0.0,30.34,0.0,0.0,1.0,0.0,0.0,0.0,1.0
387,19.99,0,1,35.0,0.0,1.0,35.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0
388,0.0,5,40,3.28,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
389,29.99,0,67,11.37,1.0,1.0,25.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0
390,24.99,0,39,36.78,1.0,1.0,18.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
391,39.99,1,42,10.18,1.0,1.0,8.870000000000001,0.0,0.0,1.0,0.0,0.0,0.0,1.0
393,9.99,1,15,9.23,1.0,1.0,41.120000000000005,0.0,0.0,1.0,0.0,0.0,0.0,1.0
394,7.99,0,0,3.17,0.0,1.0,9.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0
395,19.99,1,0,4.85,1.0,1.0,12.15,0.0,1.0,0.0,1.0,0.0,0.0,1.0
397,7.99,0,145,7.05,1.0,0.0,35.300000000000004,1.0,0.0,0.0,0.0,1.0,1.0,1.0
399,9.99,0,0,13.9,1.0,1.0,8.700000000000001,0.0,0.0,1.0,1.0,0.0,0.0,1.0
400,39.99,4,90,25.73,1.0,1.0,23.970000000000002,0.0,1.0,1.0,1.0,0.0,0.0,0.0
401,9.99,0,0,11.27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
405,19.99,0,25,3.02,1.0,0.0,3.2600000000000002,1.0,0.0,1.0,0.0,0.0,0.0,1.0
406,13.99,2,60,6.15,1.0,1.0,16.270000000000003,1.0,0.0,0.0,1.0,0.0,0.0,1.0
407,19.99,1,26,3.68,1.0,0.0,30.14,1.0,0.0,1.0,0.0,0.0,0.0,1.0
408,12.99,0,34,8.02,1.0,0.0,18.55,1.0,0.0,1.0,0.0,0.0,0.0,1.0
409,2.99,0,0,0.88,1.0,0.0,0.15000000000000002,1.0,0.0,0.0,0.0,1.0,1.0,1.0
417,19.99,0,0,34.93,1.0,0.0,43.52,1.0,1.0,0.0,0.0,1.0,0.0,1.0
419,4.99,0,7,3.25,1.0,0.0,0.029999999999999805,1.0,0.0,0.0,1.0,0.0,0.0,1.0
420,19.99,1,25,9.13,1.0,0.0,1.1399999999999988,1.0,0.0,0.0,1.0,0.0,0.0,1.0
422,2.99,0,18,7.88,1.0,1.0,4.500000000000001,1.0,0.0,1.0,1.0,0.0,0.0,1.0
423,14.99,2,14,3.1,1.0,0.0,3.0799999999999996,1.0,0.0,1.0,1.0,0.0,0.0,1.0
424,24.99,8,15,23.62,1.0,0.0,31.359999999999996,1.0,0.0,1.0,0.0,0.0,0.0,1.0
425,19.99,4,71,15.65,1.0,1.0,27.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
427,14.99,2,15,18.9,1.0,0.0,22.82,1.0,1.0,1.0,1.0,0.0,0.0,1.0
428,6.99,0,49,6.17,0.0,0.0,38.55,1.0,1.0,1.0,0.0,0.0,1.0,1.0
429,29.99,1,93,12.33,1.0,0.0,7.869999999999999,0.0,0.0,1.0,1.0,1.0,0.0,1.0
430,19.99,1,38,6.47,0.0,0.0,19.18,1.0,0.0,1.0,0.0,1.0,0.0,1.0
432,9.99,0,88,19.23,1.0,0.0,22.319999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0
